review_id_generated,review,rating,date,bank,source,app_name,app_id,review_preprocessed,sentiment_label,sentiment_score,identified_theme
31,More easy and secure fast app than previous one,5,2024-02-08,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,More easy and secure fast app than previous one,POSITIVE,0.7056,Transaction Performance
32,this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,this app can't open? what is problem? please solve my problem?,NEGATIVE,-0.4291,General Feedback
33,"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",1,2024-07-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",NEGATIVE,-0.2115,General Feedback
34,Mostly not working 😑,1,2024-08-14,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Mostly not working  expressionless_face ,NEUTRAL,0.0,General Feedback
35,"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"need alot of connection, chooses device, very lug even when there is connection",NEUTRAL,0.0,General Feedback
36,good App and user friendly.,4,2024-05-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,good App and user friendly.,POSITIVE,0.7269,User Interface & Experience
37,"Its nice platform when i compare with the previous version! But, when i try to use mobile banking the app states use the updated one! As it orders, i updated BOA from playstore, when i try to use mobile banking on the following day the same thing-update from the playstore!!!!",5,2024-02-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"Its nice platform when i compare with the previous version! But, when i try to use mobile banking the app states use the updated one! As it orders, i updated BOA from playstore, when i try to use mobile banking on the following day the same thing-update from the playstore!!!!",POSITIVE,0.471,Feature Requests & General
38,What's wrong with App. this days? it doesn't working properly. 1) it's VERY SLOW & doesn't open. it's very Annoying. 2) most of the time it says repeatedly Please try it again or try it later but again and again it doesn't open or work. 3) repeatedly it says something went wrong then it off the screen. I've updated the App. when it needed but nothing changed. 👉PLEASE if it has some issues with the App. Please fix it otherwise I'm going to uninstall it.,2,2024-05-08,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,What's wrong with App. this days? it doesn't working properly. 1) it's VERY SLOW & doesn't open. it's very Annoying. 2) most of the time it says repeatedly Please try it again or try it later but again and again it doesn't open or work. 3) repeatedly it says something went wrong then it off the screen. I've updated the App. when it needed but nothing changed.  backhand_index_pointing_right PLEASE if it has some issues with the App. Please fix it otherwise I'm going to uninstall it.,NEGATIVE,-0.7816,Transaction Performance
39,Good app and helpful,5,2025-01-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Good app and helpful,POSITIVE,0.6908,General Feedback
40,"screenshot isn't working, Please modify it",2,2024-07-22,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"screenshot isn't working, Please modify it",NEGATIVE,-0.2411,General Feedback
41,Perfect,5,2025-01-09,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Perfect,POSITIVE,0.5719,General Feedback
42,The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,NEGATIVE,-0.2263,Feature Requests & General
43,Infinx,5,2024-11-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Infinx,NEUTRAL,0.0,General Feedback
44,"my device is not auto inserting The OTP, So keyboard should be enabled on the apps OTP login to insert OTP Manually.",3,2024-04-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"my device is not auto inserting The OTP, So keyboard should be enabled on the apps OTP login to insert OTP Manually.",NEUTRAL,0.0,General Feedback
45,Its very slow and fail to load any transaction,2,2024-02-15,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Its very slow and fail to load any transaction,NEGATIVE,-0.5809,Transaction Performance
46,I can't use it anymore,3,2024-02-16,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,I can't use it anymore,NEUTRAL,0.0,General Feedback
47,Great app with great services,5,2024-09-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Great app with great services,POSITIVE,0.8481,General Feedback
48,The app is constantly crashing and freezing when to send to BOA customers' accounts.,1,2024-07-15,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The app is constantly crashing and freezing when to send to BOA customers' accounts.,NEGATIVE,-0.1027,General Feedback
49,there is no speed,1,2025-03-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,there is no speed,NEGATIVE,-0.296,Transaction Performance
50,This app is not working!!,1,2024-05-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,This app is not working!!,NEUTRAL,0.0,General Feedback
51,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,NEGATIVE,-0.6571,Transaction Performance
52,Good app,5,2024-04-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Good app,POSITIVE,0.4404,General Feedback
53,good app,5,2024-02-16,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,good app,POSITIVE,0.4404,General Feedback
54,"Wow, that's an awesome app",4,2024-02-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"Wow, that's an awesome app",POSITIVE,0.836,General Feedback
55,It's improved now,3,2024-05-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,It's improved now,POSITIVE,0.4767,General Feedback
56,it's nice to use.,5,2025-06-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,it's nice to use.,POSITIVE,0.4215,General Feedback
57,Really work very good app l like you BoA,5,2024-04-26,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Really work very good app l like you BoA,POSITIVE,0.7368,General Feedback
58,It was good and more secured mb app but this new version apk i can't find it on play store will you tell me what i have too do ...please,5,2024-02-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,It was good and more secured mb app but this new version apk i can't find it on play store will you tell me what i have too do ...please,POSITIVE,0.7224,General Feedback
59,the new updated app exception handling for connection fluctuations is so exhausting which lead users to login repeated times.,1,2024-04-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,the new updated app exception handling for connection fluctuations is so exhausting which lead users to login repeated times.,NEGATIVE,-0.5009,General Feedback
60,BoA,4,2024-04-26,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,BoA,NEUTRAL,0.0,General Feedback
61,Overrated service and recently glitching service system not being able to withdraw funds.,1,2024-02-26,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Overrated service and recently glitching service system not being able to withdraw funds.,NEUTRAL,0.0,General Feedback
62,"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",1,2024-07-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",POSITIVE,0.7713,User Interface & Experience
63,"It's not functional at all. It keeps saying ""error"". Unable to activate.",1,2024-07-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"It's not functional at all. It keeps saying ""error"". Unable to activate.",NEUTRAL,0.0,General Feedback
64,Always error occured. The worst app ever,1,2024-06-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Always error occured. The worst app ever,NEGATIVE,-0.7783,General Feedback
65,all the time updated but im not satisfy by boa mobile bancking 😡😡😡,1,2024-05-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,all the time updated but im not satisfy by boa mobile bancking  enraged_face  enraged_face  enraged_face ,NEGATIVE,-0.4973,General Feedback
66,The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,1,2024-07-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,NEGATIVE,-0.6908,General Feedback
67,Bast bank of ethiopia,5,2024-11-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Bast bank of ethiopia,NEUTRAL,0.0,General Feedback
68,I don't know why they roll out new updates without making sure it works! Why???? Do they need to update to a new staff? Perhaps pay for a better network?? Mindenew? I don't know there always a problem with this app.,1,2024-03-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,I don't know why they roll out new updates without making sure it works! Why???? Do they need to update to a new staff? Perhaps pay for a better network?? Mindenew? I don't know there always a problem with this app.,NEGATIVE,-0.529,Feature Requests & General
69,"Very poor app. It crashes every time, doesn't load properly, and you can't even buy airtime. The programming is subpar. Please take lessons from other online banking apps. I would give it a zero if I could!!",1,2024-05-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"Very poor app. It crashes every time, doesn't load properly, and you can't even buy airtime. The programming is subpar. Please take lessons from other online banking apps. I would give it a zero if I could!!",NEGATIVE,-0.3973,General Feedback
70,"Some problem this app,",1,2024-04-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"Some problem this app,",NEGATIVE,-0.4019,General Feedback
71,Cool,5,2024-03-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Cool,POSITIVE,0.3182,General Feedback
72,The worst banking app ever. Never works!,1,2024-12-14,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The worst banking app ever. Never works!,NEGATIVE,-0.6588,General Feedback
73,"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",NEGATIVE,-0.3485,Feature Requests & General
74,the worst app humans ever created,1,2025-06-09,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,the worst app humans ever created,NEGATIVE,-0.4767,General Feedback
75,it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,it doesn't work period z slowest mobile banking ever i would rather use *815#,NEUTRAL,0.0,General Feedback
76,"This app has been found useless while I compared with the first version of IB12111...that was very good, you guys what is the matter with you. You are far from the technology and the competetor's digital product through convenience, reliable, easeness _-dashen, cbe, zemen... they are doing well! share their experience and be able to satisfy your esteemed customers including me. unless you will be down soon!",1,2024-04-29,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"This app has been found useless while I compared with the first version of IB12111...that was very good, you guys what is the matter with you. You are far from the technology and the competetor's digital product through convenience, reliable, easeness _-dashen, cbe, zemen... they are doing well! share their experience and be able to satisfy your esteemed customers including me. unless you will be down soon!",POSITIVE,0.8828,Transaction Performance
77,A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,A painfully slow banking app service. Please don't make it your choice!,NEGATIVE,-0.3382,Transaction Performance
78,The application is extremely slow.,1,2024-03-16,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The application is extremely slow.,NEUTRAL,0.0,Transaction Performance
79,Good but not working top up,5,2024-05-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Good but not working top up,NEUTRAL,0.016,General Feedback
80,boa of mobile backing,5,2025-04-09,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,boa of mobile backing,NEUTRAL,0.0258,General Feedback
81,አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,NEUTRAL,0.0,User Interface & Experience
82,ምን ሆናችው ነው ግን ?በጣም ቀርፋፋ ነው፡ቢያንስ እንኳን እንደ Apollo ቢፈጥን ። I'm more 15years customers in your bank but due your Application i decide to shift for other bank like CBE OR TELEBIRR PLEASE FIX THE SPEED,1,2024-01-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,ምን ሆናችው ነው ግን ?በጣም ቀርፋፋ ነው፡ቢያንስ እንኳን እንደ Apollo ቢፈጥን ። I'm more 15years customers in your bank but due your Application i decide to shift for other bank like CBE OR TELEBIRR PLEASE FIX THE SPEED,POSITIVE,0.8074,Transaction Performance
83,"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",NEUTRAL,0.0,General Feedback
84,the worst app in my financial experience.,1,2025-10-22,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,the worst app in my financial experience.,NEGATIVE,-0.6249,User Interface & Experience
85,"the worst app ever,",1,2025-10-30,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"the worst app ever,",NEGATIVE,-0.6249,General Feedback
86,liking this application good 👍,5,2025-05-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,liking this application good  thumbs_up ,POSITIVE,0.6808,General Feedback
87,"The app is a total waste of time, it glitches, doesn't log in fast, super slow.",1,2024-04-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"The app is a total waste of time, it glitches, doesn't log in fast, super slow.",POSITIVE,0.2732,Transaction Performance
88,"When we come to use mobile banking app this app is the WOREST one. Who made this app? Why? im almost forget to use it While the app right infront to my phone. I preffered to go branch office rather than to use it. Let alone for transaction or other service for simple purpose to check my balance i used to call for the bank 'call center' rather than to open for this difficult app. It need high speed internet service, it stop service for simple interuption of the network, after transfer the 1/2",1,2024-02-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"When we come to use mobile banking app this app is the WOREST one. Who made this app? Why? im almost forget to use it While the app right infront to my phone. I preffered to go branch office rather than to use it. Let alone for transaction or other service for simple purpose to check my balance i used to call for the bank 'call center' rather than to open for this difficult app. It need high speed internet service, it stop service for simple interuption of the network, after transfer the 1/2",NEGATIVE,-0.793,Transaction Performance
89,The worest app ever,1,2024-10-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The worest app ever,NEUTRAL,0.0,General Feedback
90,The best,4,2024-04-14,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The best,POSITIVE,0.6369,General Feedback
91,"I can not open and use the application,please help me!",5,2024-08-15,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"I can not open and use the application,please help me!",POSITIVE,0.4574,General Feedback
92,App good. how money transfer tele birr agents,1,2024-02-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,App good. how money transfer tele birr agents,POSITIVE,0.4404,General Feedback
93,good but they don't update enough don't add new things,3,2025-04-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,good but they don't update enough don't add new things,POSITIVE,0.2382,Feature Requests & General
94,After recent update the app keeps asking to disable developers options and won't let you use it unless you do.,2,2024-05-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,After recent update the app keeps asking to disable developers options and won't let you use it unless you do.,NEUTRAL,0.0,Feature Requests & General
95,Nice app and it's easy to use,5,2025-02-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Nice app and it's easy to use,POSITIVE,0.6908,User Interface & Experience
96,not fast,2,2025-08-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,not fast,NEUTRAL,0.0,Transaction Performance
97,Its not working.,1,2024-06-24,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Its not working.,NEUTRAL,0.0,General Feedback
98,"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",POSITIVE,0.9475,General Feedback
99,It was working good before the last update but after the update it asks to disable developer option. why is that? That means any developer with developer option enabled can't access his account. It crushs a lot of times.,2,2024-05-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,It was working good before the last update but after the update it asks to disable developer option. why is that? That means any developer with developer option enabled can't access his account. It crushs a lot of times.,POSITIVE,0.2382,Feature Requests & General
100,"It has good backgroud and simple. But keeps saying no conectivty , login, Close immediately you made it porly not woriking on stable network!!!",1,2024-04-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"It has good backgroud and simple. But keeps saying no conectivty , login, Close immediately you made it porly not woriking on stable network!!!",NEGATIVE,-0.6197,User Interface & Experience
101,Very helpfull app,5,2024-04-27,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Very helpfull app,NEUTRAL,0.0,General Feedback
102,It is not downloading. It stops at 79 % . Why ?,1,2024-01-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,It is not downloading. It stops at 79 % . Why ?,POSITIVE,0.1139,General Feedback
103,Much better and easy to access then the last boa app,5,2024-02-05,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Much better and easy to access then the last boa app,POSITIVE,0.7003,General Feedback
104,To FCC,5,2024-02-05,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,To FCC,NEUTRAL,0.0,General Feedback
105,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,POSITIVE,0.4969,Transaction Performance
106,very nice mobile banking app my favourite,5,2025-08-16,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,very nice mobile banking app my favourite,POSITIVE,0.4754,General Feedback
107,"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",1,2024-08-06,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",NEGATIVE,-0.5848,General Feedback
108,Bad app,1,2024-04-29,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Bad app,NEGATIVE,-0.5423,General Feedback
109,Good but Very slow.,1,2024-07-08,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Good but Very slow.,POSITIVE,0.2382,Transaction Performance
110,Thank you for wasting my time Abyssinia.,1,2024-02-26,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Thank you for wasting my time Abyssinia.,NEGATIVE,-0.0516,Feature Requests & General
